food_name,food_group,energy_kcal,protein_g,fat_g,carbohydrate_g,fiber_g,calcium_mg,iron_mg,sodium_mg,potassium_mg,vitamin_c_mg,vitamin_a_mcg,folate_mcg,zinc_mg,preparation_state,region,rag_description
"Dosa (plain rice and urad)","Cereals",168,3.9,3.7,31.1,0.3,17,1.2,210,95,0,0,8,0.5,"Cooked","South India","Plain dosa, 168 kcal, moderate fat from oil, fermented batter enhances B-vitamin bioavailability."
"Upma (semolina)","Cereals",155,3.8,5.1,25.3,0.6,16,1.9,220,102,2,5,7,0.7,"Cooked","South India","Semolina upma, 155 kcal, moderate fat, commonly eaten as South Indian breakfast with vegetables."
"Moong dal (green gram), whole","Pulses",334,24.0,1.3,56.7,4.1,124,4.4,28,1246,8,21,159,2.7,"Raw","Pan-India","Whole green gram (moong), 334 kcal, excellent protein 24g, very high potassium 1246mg, folate 159mcg."
"Moong dal, split yellow","Pulses",347,24.5,1.2,59.9,0.8,75,3.9,30,981,4,14,140,2.5,"Raw","Pan-India","Split yellow moong dal, 347 kcal, high protein 24.5g, easily digestible, low fiber. Popular everyday dal."
"Masoor dal (red lentil), whole","Pulses",343,25.1,0.7,59.0,4.9,68,7.6,30,803,4,3,181,3.3,"Raw","North India","Whole red lentil (masoor), 343 kcal, very high iron 7.6mg, excellent protein 25.1g, good folate."
"Masoor dal, split (pink lentil)","Pulses",353,25.8,0.9,62.0,1.0,56,5.8,36,730,2,2,122,2.8,"Raw","Pan-India","Split masoor dal, 353 kcal, protein 25.8g, high iron 5.8mg, quick cooking, most affordable dal."
"Chana dal (Bengal gram, split)","Pulses",372,20.8,5.6,59.8,1.2,56,5.3,64,875,3,3,140,2.9,"Raw","Pan-India","Split Bengal gram (chana dal), 372 kcal, protein 20.8g, fat 5.6g, used for dal, halwa, besan."
"Arhar/Toor dal (split pigeon pea)","Pulses",335,22.3,1.7,57.6,1.5,73,2.7,13,975,1,7,456,2.5,"Raw","Pan-India","Split pigeon pea (toor dal), 335 kcal, excellent folate 456mcg, protein 22.3g, staple of dal-rice."
"Urad dal (black gram), whole","Pulses",347,24.0,1.4,59.0,0.9,154,3.8,38,966,0,0,216,3.4,"Raw","South India","Whole black gram (urad), 347 kcal, very high calcium 154mg, protein 24g, folate 216mcg. For idli/dosa batter."
"Urad dal, split (white)","Pulses",349,24.6,1.2,59.6,0.7,138,3.5,40,800,0,0,195,3.0,"Raw","Pan-India","Split white urad dal, 349 kcal, high calcium 138mg, protein 24.6g, used for makhani dal."
"Rajma (kidney beans, red)","Pulses",346,22.9,1.3,60.6,6.4,260,5.1,10,1406,0,0,394,2.8,"Raw","North India","Red kidney beans (rajma), 346 kcal, exceptional calcium 260mg, potassium 1406mg, folate 394mcg."
"Kabuli chana (chickpeas, white)","Pulses",360,17.1,5.3,61.0,5.3,202,4.6,24,875,3,3,557,3.4,"Raw","Pan-India","White chickpeas (kabuli chana), 360 kcal, folate 557mcg, calcium 202mg, fiber 5.3g, protein 17.1g."
"Kala chana (black chickpea)","Pulses",364,17.9,5.0,64.4,5.7,211,4.6,67,802,0,0,95,3.5,"Raw","Pan-India","Black chickpeas (kala chana), 364 kcal, high calcium 211mg, fiber 5.7g, excellent for weight management."
"Moth beans (matki)","Pulses",330,23.4,1.1,56.5,4.5,202,9.6,26,1003,0,0,82,2.8,"Raw","Rajasthan","Moth beans (matki), 330 kcal, very high iron 9.6mg, calcium 202mg, protein 23.4g. Misal pav base."
"Cowpea (lobia/chawli)","Pulses",323,24.1,1.0,54.5,3.8,77,8.6,16,1234,1,0,633,3.4,"Raw","Pan-India","Cowpea (lobia), 323 kcal, exceptionally high folate 633mcg, iron 8.6mg, protein 24.1g, potassium 1234mg."
"Horse gram (kulthi)","Pulses",321,22.0,0.5,57.2,5.3,287,6.7,26,1200,1,0,64,1.2,"Raw","South India","Horse gram (kulthi), 321 kcal, very high calcium 287mg, iron 6.7mg. Used in rasam and sambar."
"Field beans (val papdi)","Pulses",347,24.9,0.8,60.1,5.7,160,8.4,36,790,3,0,112,2.5,"Raw","Gujarat/Maharashtra","Field beans (val), 347 kcal, high iron 8.4mg, calcium 160mg, protein 24.9g. Popular in Gujarati cuisine."
"Soybean, dried","Pulses",432,43.2,19.5,20.9,3.7,240,9.7,2,1797,0,2,375,4.2,"Raw","Central India","Dried soybean, 432 kcal, highest plant protein 43.2g, excellent calcium 240mg, iron 9.7mg, complete protein."
"Soy flour (defatted)","Pulses",350,52.4,1.0,29.0,4.4,296,10.7,11,2070,0,0,280,3.9,"Processed","Pan-India","Defatted soy flour, 350 kcal, extremely high protein 52.4g, best plant-based protein supplement."
"Lentils, cooked (masoor dal)","Pulses",116,9.0,0.4,20.1,3.1,17,3.3,238,369,2,0,181,1.3,"Cooked","Pan-India","Cooked masoor dal, 116 kcal, excellent iron 3.3mg, protein 9g, high sodium due to salt in cooking."
"Dal makhani (black dal, cooked)","Pulses",131,7.3,5.2,17.3,2.1,65,2.1,380,320,1,65,50,1.2,"Cooked","North India","Dal makhani, 131 kcal, protein 7.3g, fat 5.2g from cream/butter, rich Punjabi dish for special occasions."
"Chole masala (chickpea curry)","Pulses",160,8.2,5.8,22.5,4.1,87,2.9,420,380,5,42,110,1.5,"Cooked","Punjab/North India","Chole masala, 160 kcal, protein 8.2g, fat 5.8g from oil, fiber 4.1g, popular Punjabi chickpea curry."
"Spinach (palak), raw","Vegetables",26,2.0,0.7,2.9,0.6,73,1.14,24,466,28,628,194,0.5,"Raw","Pan-India","Fresh spinach (palak), 26 kcal, extremely high vitamin A 628mcg, folate 194mcg, iron 1.14mg, vitamin C 28mg."
"Fenugreek leaves (methi), raw","Vegetables",49,4.4,0.9,6.0,1.1,395,1.93,76,770,52,0,75,0.9,"Raw","Pan-India","Fresh methi leaves, 49 kcal, exceptional calcium 395mg, iron 1.93mg, vitamin C 52mg, bitter medicinal herb."
"Amaranth leaves (chaulai)","Vegetables",45,4.0,0.5,6.1,1.0,397,25.5,20,611,99,730,85,1.2,"Raw","Pan-India","Amaranth leaves (chaulai), 45 kcal, incredible iron 25.5mg, calcium 397mg, vitamin C 99mg, vitamin A 730mcg."
"Drumstick leaves (moringa)","Vegetables",92,6.7,1.7,12.5,0.9,440,7.0,42,259,220,783,40,0.6,"Raw","South India","Moringa (drumstick leaves), 92 kcal, exceptional calcium 440mg, iron 7mg, vitamin C 220mg, vitamin A 783mcg."
"Drumstick pods (sahajan)","Vegetables",26,2.5,0.1,3.7,4.8,24,0.36,42,461,141,7,10,0.3,"Raw","South India","Drumstick pods (sahajan), 26 kcal, very high vitamin C 141mg, fiber 4.8g, used in sambar."
"Curry leaves (kadi patta)","Vegetables",108,6.1,1.0,18.7,6.4,830,0.93,177,48,4,1898,93,0.1,"Raw","South India","Curry leaves, 108 kcal, exceptional calcium 830mg, vitamin A 1898mcg. Used as flavor agent, not eaten in bulk."
"Tomato, ripe, raw","Vegetables",20,0.9,0.2,3.6,0.8,20,0.64,15,237,27,42,15,0.2,"Raw","Pan-India","Ripe tomato, 20 kcal, good vitamin C 27mg, lycopene source, potassium 237mg, low calorie vegetable."
"Onion, raw","Vegetables",40,1.2,0.1,8.6,0.6,47,0.6,4,146,7,0,19,0.2,"Raw","Pan-India","Raw onion, 40 kcal, quercetin-rich, low calorie, prebiotic fiber, sulfur compounds for heart health."
"Garlic, raw","Vegetables",149,6.3,0.5,29.9,2.1,181,1.7,17,401,31,0,3,1.2,"Raw","Pan-India","Raw garlic, 149 kcal, allicin compound for immunity, calcium 181mg, protein 6.3g, potassium 401mg."
"Ginger, raw","Vegetables",80,2.3,0.9,15.5,2.0,16,0.6,13,415,5,0,11,0.3,"Raw","Pan-India","Fresh ginger, 80 kcal, anti-inflammatory gingerols, potassium 415mg, digestive aid used in Indian cooking."
"Green chilli (fresh)","Vegetables",40,2.0,0.2,7.3,1.5,30,1.0,7,340,242,28,23,0.3,"Raw","Pan-India","Green chilli, 40 kcal, exceptional vitamin C 242mg, capsaicin for metabolism, iron 1mg."
"Bitter gourd (karela)","Vegetables",25,1.6,0.2,4.2,2.8,19,0.43,5,296,84,17,72,0.8,"Raw","Pan-India","Bitter gourd (karela), 25 kcal, high vitamin C 84mg, charantin for blood sugar control, folate 72mcg."
"Bottle gourd (lauki/ghia)","Vegetables",15,0.2,0.1,2.5,0.6,26,0.46,2,150,10,0,4,0.7,"Raw","Pan-India","Bottle gourd (lauki), 15 kcal, very low calorie, high water content, easy to digest, good for weight loss."
"Ridge gourd (turai)","Vegetables",17,0.5,0.1,3.4,0.5,18,0.36,3,139,12,4,7,0.3,"Raw","Pan-India","Ridge gourd (turai), 17 kcal, very low calorie, high water, good for digestion and hydration."
"Snake gourd (chichinda)","Vegetables",18,0.5,0.3,3.3,0.6,26,0.5,2,150,13,0,7,0.3,"Raw","South/Central India","Snake gourd, 18 kcal, low calorie, cooling vegetable, vitamin C 13mg, potassium 150mg."
"Ivy gourd (tindora/kundru)","Vegetables",18,1.2,0.1,3.1,1.6,40,1.4,3,120,40,13,4,0.2,"Raw","Pan-India","Ivy gourd (tindora), 18 kcal, vitamin C 40mg, good iron 1.4mg for a vegetable, fiber 1.6g."
"Ash gourd (white gourd/petha)","Vegetables",10,0.4,0.1,1.9,0.8,26,0.4,1,140,11,0,5,0.2,"Raw","Pan-India","Ash gourd (petha), 10 kcal, extremely low calorie, high water content, cooling and alkaline vegetable."
"Pointed gourd (parwal)","Vegetables",20,2.0,0.3,2.2,3.0,30,1.7,3,83,29,0,5,0.5,"Raw","East/North India","Pointed gourd (parwal), 20 kcal, high fiber 3g, vitamin C 29mg, iron 1.7mg. Bengali and UP cuisine."
"Cluster beans (guar phali)","Vegetables",16,3.2,0.4,0.8,1.2,57,1.08,5,220,49,13,14,0.5,"Raw","Rajasthan/Gujarat","Cluster beans (guar phali), 16 kcal, protein 3.2g, calcium 57mg, vitamin C 49mg. For guar ki sabzi."
"French beans (fansi)","Vegetables",26,1.8,0.1,4.5,2.0,50,0.8,6,209,15,35,37,0.4,"Raw","Pan-India","French beans, 26 kcal, vitamin A 35mcg, folate 37mcg, fiber 2g, calcium 50mg. Healthy stir-fry vegetable."
"Lady's finger (okra/bhindi)","Vegetables",35,1.9,0.2,6.4,3.2,66,0.35,8,299,23,36,46,0.5,"Raw","Pan-India","Okra (bhindi), 35 kcal, high fiber 3.2g (mucilage), vitamin A 36mcg, folate 46mcg, calcium 66mg."
"Brinjal (eggplant/baingan)","Vegetables",24,1.4,0.3,4.0,1.3,18,0.38,3,229,5,6,22,0.2,"Raw","Pan-India","Brinjal (baingan), 24 kcal, low calorie, nasunin antioxidant in purple skin, potassium 229mg."
"Potato, raw","Vegetables",97,1.6,0.1,22.6,0.4,10,0.48,6,421,17,0,16,0.3,"Raw","Pan-India","Raw potato, 97 kcal, high potassium 421mg, vitamin C 17mg, mainly starch carbohydrate, widely consumed."
"Sweet potato, raw","Vegetables",86,1.2,0.3,20.1,3.0,30,0.61,5,337,22,961,11,0.3,"Raw","Pan-India","Sweet potato, 86 kcal, exceptional vitamin A 961mcg, vitamin C 22mg, fiber 3g. Healthier than regular potato."
"Colocasia (arbi/taro root)","Vegetables",97,3.0,0.1,21.2,4.1,40,0.72,11,591,5,0,22,0.2,"Raw","Pan-India","Arbi (taro), 97 kcal, potassium 591mg, fiber 4.1g, protein 3g. Used in arbi ki sabzi and sambar."
"Yam (jimikand/suran)","Vegetables",118,1.5,0.2,27.9,4.1,17,0.54,9,816,17,0,23,0.3,"Raw","Pan-India","Elephant foot yam (suran), 118 kcal, high potassium 816mg, fiber 4.1g. Good glycemic substitute for potato."
"Peas, green, raw","Vegetables",81,5.4,0.4,14.5,5.1,26,1.47,5,244,40,38,65,1.2,"Raw","Pan-India","Green peas, 81 kcal, protein 5.4g, fiber 5.1g, vitamin C 40mg, folate 65mcg. Used in pulao and matar paneer."
"Cauliflower, raw","Vegetables",25,1.9,0.5,4.0,2.0,33,0.42,30,299,48,1,57,0.4,"Raw","Pan-India","Cauliflower, 25 kcal, vitamin C 48mg, folate 57mcg, sulforaphane anticancer compound, low calorie."
"Cabbage, raw","Vegetables",25,1.3,0.2,4.7,1.8,40,0.47,18,246,51,5,43,0.2,"Raw","Pan-India","Raw cabbage, 25 kcal, vitamin C 51mg, folate 43mcg, anti-inflammatory. Used in coleslaw and sabzi."
"Carrot, raw","Vegetables",48,0.9,0.2,10.6,2.8,80,2.2,40,320,8,2001,19,0.3,"Raw","Pan-India","Raw carrot, 48 kcal, exceptional vitamin A 2001mcg (beta-carotene), calcium 80mg, fiber 2.8g."
"Beetroot, raw","Vegetables",43,1.7,0.1,9.6,2.8,16,0.80,78,325,10,2,109,0.4,"Raw","Pan-India","Raw beetroot, 43 kcal, high folate 109mg, potassium 325mg, nitrates for blood pressure, natural sweetness."
"Radish (mooli), white, raw","Vegetables",17,0.7,0.1,3.4,1.6,35,0.4,39,233,25,0,25,0.3,"Raw","North India","White radish (mooli), 17 kcal, vitamin C 25mg, digestive enzyme, used in parathas and salads."
"Lotus root (kamal kakdi)","Vegetables",74,2.6,0.1,16.0,3.1,26,1.16,40,556,44,0,13,0.4,"Raw","North India/Jammu","Lotus root (kamal kakdi), 74 kcal, vitamin C 44mg, potassium 556mg, fiber 3.1g. Used in Kashmiri cooking."
"Raw banana (kachcha kela)","Vegetables",89,1.3,0.3,22.8,2.6,3,0.3,4,358,8,4,14,0.2,"Raw","South India/Kerala","Raw banana, 89 kcal, resistant starch 2.6g, prebiotic, used in Kerala thoran and chips (vazhakkai)."
"Jackfruit, raw (kathal)","Vegetables",95,1.7,0.3,24.0,1.5,24,0.23,2,303,14,22,24,0.4,"Raw","South/East India","Raw jackfruit (kathal), 95 kcal, plant-based meat substitute, vitamin C 14mg, potassium 303mg."
"Cucumber (kheera), raw","Vegetables",13,0.7,0.1,2.2,0.5,16,0.3,2,136,2.8,5,14,0.2,"Raw","Pan-India","Cucumber (kheera), 13 kcal, 96% water, extremely low calorie, cooling summer vegetable, hydration aid."
"Capsicum green (shimla mirch)","Vegetables",20,0.9,0.3,4.6,1.7,9,0.34,3,177,80,18,10,0.1,"Raw","Pan-India","Green capsicum, 20 kcal, very high vitamin C 80mg, vitamin A 18mcg, low calorie. Sabzi and stuffed mirch."
"Capsicum red","Vegetables",31,1.0,0.3,6.0,2.1,7,0.43,2,211,128,157,46,0.3,"Raw","Pan-India","Red capsicum, 31 kcal, extremely high vitamin C 128mg and vitamin A 157mcg. Sweeter than green."
"Capsicum yellow","Vegetables",27,1.0,0.2,6.3,0.9,11,0.4,2,183,183,10,26,0.3,"Raw","Pan-India","Yellow capsicum, 27 kcal, highest vitamin C 183mg among bell peppers, antioxidant-rich, sweet flavor."
"Broccoli, raw","Vegetables",34,2.8,0.4,6.6,2.6,47,0.73,33,316,89,31,63,0.4,"Raw","Pan-India","Broccoli, 34 kcal, high vitamin C 89mg, folate 63mcg, sulforaphane anticancer, calcium 47mg, fiber 2.6g."
"Turnip (shalgam), raw","Vegetables",28,0.9,0.1,6.4,1.8,30,0.3,67,191,21,0,15,0.3,"Raw","North India","Turnip (shalgam), 28 kcal, vitamin C 21mg, calcium 30mg, used in Punjabi winter vegetables (saag mixes)."
"Coriander leaves (hara dhania)","Vegetables",44,3.3,0.6,7.3,2.8,184,1.42,46,521,135,337,62,0.5,"Raw","Pan-India","Coriander leaves, 44 kcal, remarkable vitamin A 337mcg, calcium 184mg, vitamin C 135mg. Garnish herb."
"Mint (pudina), fresh","Vegetables",70,3.8,0.9,14.9,8.0,243,5.1,31,569,31,212,105,0.6,"Raw","Pan-India","Fresh mint (pudina), 70 kcal, exceptional calcium 243mg, iron 5.1mg, vitamin A 212mcg. Used in chutneys."
"Pumpkin (kaddu), red, raw","Vegetables",26,1.0,0.1,6.5,0.5,21,0.8,1,340,9,426,16,0.3,"Raw","Pan-India","Red pumpkin (kaddu), 26 kcal, very high vitamin A 426mcg, potassium 340mg, low calorie."
"Mango, ripe (Alphonso)","Fruits",74,0.6,0.4,16.9,1.8,14,1.31,2,156,36,765,43,0.1,"Raw","Maharashtra/West India","Alphonso mango, 74 kcal, very high vitamin A 765mcg, vitamin C 36mg, folate 43mcg. King of Indian fruits."
"Mango, raw (green kachha aam)","Fruits",44,0.5,0.3,10.0,1.6,10,0.13,2,83,45,9,14,0.2,"Raw","Pan-India","Raw green mango, 44 kcal, vitamin C 45mg, used for chutneys, pickles, aam panna refreshing drink."
"Banana, ripe (common/robusta)","Fruits",116,1.2,0.3,27.2,0.9,17,0.36,36,358,7,8,20,0.2,"Raw","Pan-India","Ripe banana, 116 kcal, excellent potassium 358mg, instant energy carbohydrates, tryptophan for serotonin."
"Papaya, ripe","Fruits",32,0.6,0.1,7.2,0.8,17,0.5,3,182,57,328,37,0.1,"Raw","Pan-India","Ripe papaya, 32 kcal, high vitamin A 328mcg, vitamin C 57mg, papain enzyme for digestion, low calorie."
"Guava (amrud)","Fruits",51,0.9,0.3,11.2,5.4,10,0.26,2,417,228,31,49,0.2,"Raw","Pan-India","Guava, 51 kcal, exceptional vitamin C 228mg (highest among fruits), fiber 5.4g, potassium 417mg."
"Amla (Indian gooseberry)","Fruits",44,0.9,0.1,10.2,3.4,50,0.9,1,198,600,3,7,0.1,"Raw","Pan-India","Amla (Indian gooseberry), 44 kcal, extraordinary vitamin C 600mg, highest in nature, iron 0.9mg."
"Pomegranate (anar)","Fruits",65,0.9,0.3,14.5,0.6,10,0.3,3,236,10,0,38,0.4,"Raw","Maharashtra/Rajasthan","Pomegranate, 65 kcal, punicalagins antioxidant, folate 38mcg, potassium 236mg, anti-inflammatory."
"Watermelon (tarbuz)","Fruits",26,0.6,0.2,6.4,0.4,7,0.24,1,112,8,28,3,0.1,"Raw","Pan-India","Watermelon, 26 kcal, 92% water, lycopene antioxidant, vitamin A 28mcg, excellent summer hydration fruit."
"Orange (santra/mosambi)","Fruits",48,0.9,0.2,10.9,2.4,43,0.1,0,181,59,11,30,0.1,"Raw","Maharashtra/Nagpur","Orange, 48 kcal, excellent vitamin C 59mg, flavonoids for immunity, calcium 43mg, folate 30mcg."
"Sweet lime (mosambi)","Fruits",43,0.8,0.9,9.3,0.5,40,0.7,3,490,50,0,17,0.1,"Raw","Pan-India","Sweet lime (mosambi), 43 kcal, vitamin C 50mg, potassium 490mg, digestive juice recipe for hospitals."
"Apple, red (Shimla)","Fruits",59,0.3,0.4,13.8,2.4,6,0.12,1,107,4.6,3,3,0.0,"Raw","Himachal Pradesh","Red apple, 59 kcal, fiber 2.4g (pectin), quercetin, low calorie, polyphenols for gut health."
"Grapes, black","Fruits",71,0.6,0.4,16.5,0.3,13,0.26,2,191,4,10,4,0.1,"Raw","Maharashtra/Karnataka","Black grapes, 71 kcal, resveratrol antioxidant, polyphenols, natural sugars, potassium 191mg."
"Grapes, green (seedless)","Fruits",67,0.6,0.4,17.2,0.9,10,0.29,2,191,3.2,7,2,0.1,"Raw","Nashik/Maharashtra","Green seedless grapes, 67 kcal, antioxidant-rich, natural sugars, used in fresh fruit salads."
"Pineapple (ananas)","Fruits",50,0.5,0.1,13.1,1.4,13,0.29,1,109,48,3,18,0.1,"Raw","Kerala/Northeast","Pineapple, 50 kcal, bromelain digestive enzyme, vitamin C 48mg, manganese for bone health."
"Chikoo (sapota)","Fruits",83,0.7,1.1,19.9,5.3,21,0.8,12,193,14,3,14,0.1,"Raw","Maharashtra/Gujarat","Chikoo (sapota), 83 kcal, very high fiber 5.3g, natural sweetness, potassium 193mg. Popular dessert fruit."
"Jackfruit, ripe (kathal)","Fruits",95,1.7,0.3,24.0,1.5,34,0.6,3,303,14,22,24,0.4,"Raw","South/East India","Ripe jackfruit, 95 kcal, vitamin C 14mg, natural sweetness, potassium 303mg. Largest edible fruit."
"Coconut, fresh (nariyal)","Fruits",354,3.3,33.5,13.4,9.0,14,2.43,20,356,3,0,26,1.1,"Raw","South India/Kerala","Fresh coconut, 354 kcal, very high fat 33.5g (saturated MCT), fiber 9g, iron 2.43mg, medium-chain triglycerides."
"Custard apple (sitaphal)","Fruits",94,1.6,0.4,23.5,3.1,30,1.5,4,382,36,6,14,0.3,"Raw","Maharashtra","Custard apple (sitaphal), 94 kcal, vitamin C 36mg, iron 1.5mg, potassium 382mg, seasonal winter fruit."
"Lychee (litchi)","Fruits",66,0.8,0.3,16.5,1.3,5,0.31,1,171,71.5,0,14,0.1,"Raw","Bihar/Muzaffarpur","Lychee, 66 kcal, high vitamin C 71.5mg, potassium 171mg, natural sweetness, polyphenols."
"Jamun (Indian blackberry)","Fruits",62,0.7,0.3,14.0,0.6,15,0.19,26,55,18,3,0,0.2,"Raw","Pan-India","Jamun, 62 kcal, anthocyanins for blood sugar control, traditional diabetic-friendly fruit, sodium 26mg."
"Dates, dry (khajur)","Fruits",317,2.5,0.4,75.8,8.0,63,1.99,1,646,0,3,19,0.4,"Dried","Rajasthan","Dried dates, 317 kcal, very high fiber 8g, potassium 646mg, iron 1.99mg, natural energy dense food."
