Tip_ID,Workout_Type,Category,Subcategory,Tip_Title,Tip_Description,Key_Benefit,Equipment_Needed,Duration_Recommendation,Difficulty_Level,Muscle_Groups_Targeted,Scientific_Backing,Target_Audience,Avoid_If,Frequency_Recommendation,Calories_Burned_Estimate,Rest_Period,Progression_Strategy
16,Gym,Flexibility,Stretching,Static Stretch After Every Session,"Hold each major muscle stretch for 30‑60 seconds after training – improves flexibility, reduces DOMS, returns muscles to resting length.",Improves flexibility, reduces next‑day soreness,Yoga mat,"10-15 min post‑workout",Easy,All trained muscle groups,High,All gym-goers,"Acute injury (avoid stretching injured tissue)",After every session,"30-50 kcal",N/A,"Gradually increase hold time and range"
17,Gym,Core,Stability,Prioritise Core Stability Over Aesthetics,"Train core for stability with planks, dead bugs, bird dogs, pallof presses – prevents back injury and improves all lifts.",Prevents back injury and improves lifting,"Mat, cable machine",10-15 min,Beginner-Intermediate,"Core (transverse abdominis, multifidus)",Very High,All gym-goers,Lower back injury (modify),"3-4x per week","80-120 kcal",30-60 sec,"Increase hold time or add resistance"
18,Gym,Core,Strength,Include Anti‑Rotation Core Exercises,"Pallof press, landmine rotations, cable chops – these build functional core stability better than crunches.",Builds rotational stability,"Cable machine, resistance band",10-15 min,Intermediate,"Obliques, transverse abdominis",High,All gym-goers,Back pain (consult doctor),"2-3x per week","80-100 kcal",60 sec,"Increase resistance gradually"
19,Yoga,Flexibility,Morning Routine,Practice Sun Salutations Every Morning,"5‑10 rounds of Surya Namaskar each morning – warms up body, improves spinal flexibility, sets a focused mindset.",Full‑body warm‑up and mental clarity,Yoga mat,15-20 min,Beginner,"Spine, shoulders, hamstrings",High,All ages,Wrist injury (modify),Daily,"100-150 kcal",Flow continuously,"Add vinyasas or hold poses longer"
20,Yoga,Flexibility,Hip Opening,Hold Pigeon Pose for Hip Flexibility,"Hold Pigeon pose 60‑90 seconds per side – releases tight hip flexors and piriformis (common in desk workers).",Releases tight hips and piriformis,Yoga mat,"60-90 sec per side",Beginner-Intermediate,"Hip flexors, piriformis, glutes",High,"Office workers, runners","Hip replacement, severe hip pain",Daily,"30-50 kcal",N/A,"Gradually sink deeper into pose"
21,Yoga,Strength,Balance,Practice Warrior Series for Leg Strength,"Flow through Warrior I, II and III, holding 5‑10 breaths each – builds functional leg strength, balance and focus.",Leg strength and balance,Yoga mat,20-30 min,Beginner-Intermediate,"Quadriceps, glutes, hamstrings",Moderate,General population,Knee injury (modify),"3-4x per week","150-200 kcal",Flow between poses,"Hold longer or add more challenging variations"
22,Yoga,Mindfulness,Stress Reduction,Practice Yoga Nidra for Deep Relaxation,"Lie in Savasana with a body‑scan guided relaxation (yoga nidra) 20‑30 minutes – activates parasympathetic nervous system, reduces stress.",Reduces cortisol by up to 30%,"Yoga mat, blanket",20-30 min,Easy,"Nervous system, mind",High,"Stressed individuals, anxiety sufferers",None,"Daily or as needed",Minimal (resting),N/A,"No physical progression – deepen awareness"
23,Yoga,Breathing,Pranayama,Practice Box Breathing (4‑4‑4‑4),"Inhale 4 counts, hold 4, exhale 4, hold 4 – repeat 5‑10 minutes – activates parasympathetic nervous system, reduces anxiety.",Lowers heart rate and cortisol,None,5-10 min,Easy,"Respiratory system, nervous system",Very High,General population,Severe respiratory conditions,Daily,Minimal,N/A,"Increase counts to 5‑5‑5‑5 then 6‑6‑6‑6"
24,Yoga,Strength,Inversions,Build Up to Headstand Gradually,"Dolphin pose and headstand prep at wall before full headstand – builds shoulder and core strength for safe inversion.",Shoulder strength and body awareness,"Yoga mat, wall",10-15 min practice,Intermediate,"Shoulders, core, neck",Moderate,Intermediate yoga practitioners,"Neck injury, high blood pressure, glaucoma","2-3x per week","80-120 kcal","Rest between attempts","Progress from wall support to freestanding"
25,Yoga,Flexibility,Backbends,Include Backbends for Spine Health,"Cobra, upward dog, camel, wheel – progressively to counteract forward‑hunching posture, improve spine mobility, open chest.",Counteracts desk posture, improves spinal mobility,"Yoga mat, block",10-15 min,Beginner-Intermediate,"Spine erectors, chest, shoulders",High,"Office workers, general","Lumbar disc issues (consult doctor)",Daily,"60-100 kcal","Flow or hold 30‑60 sec","Progress from cobra to full wheel gradually"
26,Yoga,Recovery,Restorative,Use Restorative Yoga on Rest Days,"Supported poses (legs‑up‑wall, supported fish, reclined butterfly) with bolsters, held 5‑10 minutes each – deeply restores nervous system after hard training.",Active recovery and nervous system restoration,"Yoga mat, bolster, blanket",30-45 min,Easy,"Nervous system, passive stretching",High,"Athletes, anyone stressed",None,"1-2x per week on rest days","50-80 kcal","Hold poses 5‑10 min each","Add longer holds or more poses"
27,Yoga,Core,Pilates-Yoga Fusion,Add Boat Pose for Core Endurance,"Hold Navasana (boat pose) 10‑30 seconds – focuses on lifting through sternum and engaging deep core.",Deep core engagement,Yoga mat,"Hold 10‑30 sec x 5 rounds",Intermediate,"Hip flexors, transverse abdominis",High,Yoga practitioners,Lower back pain (modify),3x per week,"60-80 kcal","30 sec rest between holds","Increase hold time or add leg extensions"
28,Yoga,Balance,Single Leg,Practice Tree Pose for Balance,"Stand on one leg in Vrksasana, focus on a fixed point (drishti) – 30‑60 seconds per side. Improves proprioception and balance.",Improves balance and proprioception,"Yoga mat (optional)","30-60 sec each side",Beginner,"Ankle stabilizers, core",Moderate,"All ages, especially elderly",Severe balance issues,Daily,"30-50 kcal",Switch sides,"Progress to eyes closed or standing on unstable surface"
29,Swimming,Technique,Freestyle,Master Freestyle Breathing Technique,"Bilateral breathing (every 3 strokes) – develops balanced shoulder rotation, reduces fatigue, improves oxygen efficiency.",Even shoulder development and aerobic efficiency,"Pool, swimwear, goggles",30-45 min,Beginner-Intermediate,"Shoulders, lats, core, cardiovascular",High,Swimmers of all levels,None,"3-4x per week","300-500 kcal","Rest 30‑60 sec between sets","Progress to breathing every 5 strokes"
30,Swimming,Technique,Backstroke,Perfect Backstroke for Spine Relief,"Backstroke extends the spine (opposite of other strokes) – ideal for lower back pain while still providing full‑body workout.",Decompresses spine, works full body,Pool,20-30 min,Beginner,"Back muscles, shoulders, legs",Moderate,"People with lower back pain",Shoulder impingement,3x per week,"200-350 kcal",Rest between laps,"Increase speed and distance"
31,Swimming,Technique,Breaststroke,Use Breaststroke for Knee Rehabilitation,"Breaststroke kick engages inner thighs and is lower‑impact – excellent gentle cardio during knee recovery.",Low‑impact cardio during injury recovery,Pool,20-30 min,Beginner,"Inner thighs, chest, shoulders",Moderate,Injury rehabilitation,"Acute knee or groin injury","2-3x per week","200-300 kcal",Rest between lengths,"Increase speed, then distance"
32,Swimming,Technique,Butterfly,Build to Butterfly Stroke Progressively,"Master undulation drills and dolphin kick before full butterfly – the most technically demanding and intense stroke.",Full‑body power and coordination,Pool,"Short sets (25m each)",Advanced,"Full body, especially lats and core",High,Advanced swimmers,Shoulder injury,"1-2x per week (intense)","400-600 kcal","60-90 sec between 25m sets","Add distance gradually"
33,Swimming,Training,Intervals,Do Swim Intervals for Fat Loss,"Alternate 50m hard (85‑90% max) with 50m easy recovery – 20‑30 minutes total. Burns 40% more calories than easy swimming.",Maximises calorie burn and cardiovascular adaptation,Pool,30-45 min,Intermediate,"Cardiovascular system, full body",High,Intermediate swimmers,None,3x per week,"400-600 kcal","50m easy between hard efforts","Increase hard effort distance"
34,Swimming,Training,Endurance,Build Open Water Swimming Endurance,"Gradually increase continuous lap distance by 10% per week – builds aerobic base and mental toughness for events.",Aerobic base and mental resilience,"Pool or open water",45-90 min,Intermediate-Advanced,"Cardiovascular system, full body",High,"Triathletes, open water swimmers",Heart conditions,"2-3x per week","400-700 kcal",Continuous swim,"Add 200m per week"
35,Swimming,Recovery,Cool Down,Always Finish Swimming with Easy Laps,"Final 5‑10 minutes of very easy backstroke or freestyle – gradually lowers heart rate, flushes lactic acid, prevents dizziness.",Proper cardiovascular recovery,Pool,5-10 min,Easy,Cardiovascular system,High,All swimmers,None,After every swim session,"50-100 kcal",Continuous easy effort,N/A
36,Swimming,Drills,Kick Work,Use Kickboard Drills for Leg Strength,"Isolate kick with a kickboard – 4×50m sets. Strengthens hip flexors, quads, calves, improves ankle flexibility.",Strengthens kick and leg muscles,"Kickboard, pool",15-20 min,Beginner-Intermediate,"Quadriceps, hip flexors, ankles",Moderate,All swimmers,Knee injury (modify),2x per week,"150-250 kcal","30-45 sec between sets","Increase sets or reduce rest"
37,Swimming,Drills,Pull Work,Use Pull Buoy for Upper Body Focus,"Place pull buoy between thighs to eliminate kick – isolate upper body pull (4‑6×50m). Builds lat and shoulder strength.",Isolates and strengthens upper body pull,"Pull buoy, pool",15-20 min,Intermediate,"Lats, shoulders, biceps",Moderate,All swimmers,Shoulder injury,2x per week,"150-200 kcal",30 sec between sets,"Increase distance or sets"
38,Running,Technique,Form,Run with Proper Running Form,"Head up, shoulders relaxed, arms at 90°, hands loose, cadence 170‑180 steps/min, land with foot under hips – reduces injury risk by 30%.",Reduces injury risk, improves efficiency,Running shoes,Any run,All levels,"Lower body, cardiovascular",Very High,All runners,None,Every run,Varies by pace,N/A,"Focus on one cue at a time"
39,Running,Training,Beginner,Follow Couch to 5K Program,"Alternate walking and running intervals in a structured 9‑week program – builds from 1 minute to 30 continuous minutes.",Safe and gradual introduction to running,Running shoes,"3x per week, 20-30 min",Beginner,"Lower body, cardiovascular",Very High,Complete beginners,"Serious joint conditions (consult doctor)",3x per week,"150-300 kcal",Walk periods are rest,"Progress exactly as program dictates"
40,Running,Training,Endurance,Apply the 10% Rule for Mileage Increase,"Never increase weekly distance by more than 10% – allows connective tissue and bones to adapt, prevents overuse injuries.",Prevents overuse injuries,Running shoes,Varies,All levels,"Lower body, cardiovascular",Very High,All runners,None,Weekly planning rule,N/A,N/A,"Stick strictly to 10% increase maximum"
41,Running,Training,Speed,Do Weekly Tempo Runs for Speed,"Comfortably hard pace (7/10 effort, can speak a few words) for 20‑40 minutes – improves lactate threshold and running economy.",Raises lactate threshold, improves race pace,Running shoes,40-50 min,Intermediate,"Cardiovascular system, legs",Very High,Intermediate runners,None,1x per week,"400-600 kcal","Warm up and cool down","Gradually increase tempo run duration"
42,Running,Training,Speed,Include Strides for Leg Turnover,"6‑8×100m accelerations at 90‑95% effort with full recovery after easy runs – improves neuromuscular efficiency and speed.",Improves neuromuscular efficiency and form,"Running track or flat road",15-20 min added to easy run,Intermediate,"Legs, cardiovascular system",High,Intermediate runners,None,"1-2x per week","100-150 kcal extra","Full recovery walk back","Add strides or increase number"
43,Running,Recovery,Rest Days,Prioritise Running Rest Days,"At least 1‑2 full rest days per week – bones, cartilage and tendons adapt only during recovery, not during runs.",Prevents stress fractures and overuse injury,None,Full rest,N/A,"Recovery, systemic",Very High,All runners,None,"1-2x per week",N/A,Full day rest,N/A
44,Running,Gear,Footwear,Replace Running Shoes Every 500‑800km,"Track shoe mileage – replace when EVA foam compresses (usually 500‑800km) – worn shoes increase injury risk significantly.",Prevents injury from worn cushioning,Running shoes,N/A,N/A,N/A,High,All runners,None,"Every 500‑800km",N/A,N/A,N/A
45,Running,Terrain,Trail Running,Try Trail Running for Full Body Workout,"Run trails 1x per week – varied terrain strengthens stabiliser muscles, improves proprioception, reduces repetitive stress.",Activates stabilisers, reduces road impact,Trail running shoes,45-75 min,Intermediate,"Full lower body, stabilisers",High,Intermediate runners,Severe balance issues,1x per week,"400-600 kcal","Natural rest on uphills","Increase trail distance gradually"
46,Cycling,Outdoor,Technique,Master Hill Climbing on Bike,"Shift to easier gear before hills, stand briefly on steep sections, keep cadence >60 RPM, pace breathing – builds leg power & efficiency.",Builds leg power and climbing efficiency,"Road or mountain bike",Included in any ride with hills,Intermediate,"Quadriceps, glutes, cardiovascular",High,Cyclists,"Knee pain (stay seated on hills)",As hills occur in rides,"400-700 kcal per hour",None during climb,"Tackle progressively steeper hills"
47,Cycling,Indoor,Spin Class,Use Indoor Cycling for HIIT Cardio,"Attend spin classes or follow indoor programs with seated/standing intervals – builds leg power and cardiovascular fitness regardless of weather.",Leg power and cardiovascular fitness,"Stationary bike, spin bike",45-60 min,Beginner-Intermediate,"Quadriceps, hamstrings, cardiovascular",High,All fitness levels,Knee injury,"2-3x per week","400-600 kcal",Built into class structure,"Increase resistance gradually"
48,Cycling,Endurance,Long Ride,Build Aerobic Base with Long Slow Rides,"One long easy ride (2‑4 hours at 65‑70% max heart rate) per week – builds aerobic base, fat burning efficiency, cardiovascular endurance.",Aerobic base and fat burning efficiency,"Road or mountain bike",2-4 hours,Intermediate,"Cardiovascular system, legs",Very High,Intermediate‑advanced cyclists,None,1x per week,"600-1200 kcal",Continuous,"Increase by 30 min per week"
49,Cycling,Recovery,Nutrition,Fuel Long Bike Rides Properly,"Consume 30‑60g carbs per hour for rides >60 min (gels, bars, bananas) plus 500‑750ml fluid per hour – prevents bonking.",Prevents energy crashes and dehydration,"Food, water",During rides over 60 min,All levels,N/A (nutrition strategy),Very High,All cyclists,Diabetics (adjust carbs),Every long ride,N/A,Eat every 45 min,N/A
50,Cycling,Mountain Biking,Technique,Look Ahead on Mountain Bike Trails,"Always look 3‑4 metres ahead of front wheel – helps process terrain, plan line choice, maintain momentum and balance.",Improves trail reading, prevents crashes,"Mountain bike, helmet",During trail rides,Intermediate,"Upper body stabilisers, core",High,Mountain bikers,None,Every trail ride,"400-700 kcal per hour",N/A,"Tackle progressively technical trails"
51,HIIT,General,Protocol,Follow Tabata Protocol for Maximum Efficiency,"8 rounds of 20 sec max effort, 10 sec rest (4 minutes total) – superior aerobic and anaerobic adaptations in very short time.",Improves both aerobic and anaerobic capacity,"None or minimal",4 min per exercise,Intermediate-Advanced,"Cardiovascular system, targeted muscles",Very High,Intermediate fitness levels,"Heart conditions, joint issues","2-3x per week","100-150 kcal per 4 min Tabata",10 sec rest within Tabata,"Increase number of exercises or rounds"
52,HIIT,General,Protocol,Use 1:2 Work‑to‑Rest Ratio for Power HIIT,"Work 20‑30 sec at 90‑100% effort, rest 40‑60 sec – allows near‑complete recovery between power efforts. Builds explosive power.",Develops explosive power and speed,Varies,20-30 min,Intermediate,"Full body, cardiovascular",High,Intermediate‑advanced,Heart conditions,2x per week,"300-400 kcal","40-60 sec between efforts","Increase work time or decrease rest"
53,HIIT,Exercises,Plyometrics,Include Box Jumps for Explosive Power,"Jump onto a plyo box (start 20‑30cm high) – focus on soft, quiet landing. Develops explosive leg power and fast‑twitch fibres.",Explosive power and fast‑twitch muscles,Plyo box,"3‑4 sets of 5‑8 reps",Intermediate,"Quadriceps, glutes, calves",High,"Athletes, intermediates","Knee or ankle injury",2x per week,"150-200 kcal",2 min between sets,"Increase box height progressively"
54,HIIT,Exercises,Burpees,Master the Burpee for Full Body Conditioning,"Burpees (squat, thrust, push‑up, jump) at high intensity for 30‑60 sec sets – engages every major muscle group, spikes heart rate rapidly.",Full‑body conditioning and calorie burn,None,30-60 sec sets,Intermediate,"Full body, cardiovascular",High,General population,"Wrist, shoulder, knee issues","2-3x per week","10-15 kcal per minute","Equal rest to work period","Add a push‑up or tuck jump variation"
55,HIIT,Exercises,Kettlebell,Do Kettlebell Swings for Posterior Chain,"Perform swings 20‑40 reps – focus on hip hinge, not squat. Builds powerful glutes/hamstrings while training cardiovascular system.",Posterior chain power and cardio,Kettlebell,"3‑5 sets of 20‑30 reps",Intermediate,"Glutes, hamstrings, cardiovascular",Very High,Intermediate gym-goers,Lower back injury,"2-3x per week","200-350 kcal",60-90 sec between sets,"Increase kettlebell weight or reps"
56,HIIT,Bodyweight,Circuit,Create Full Body Bodyweight Circuit,"Combine push‑ups, squats, mountain climbers, jumping jacks, lunges, plank holds – 40 sec work / 20 sec rest, 4‑6 rounds.",Full‑body conditioning without equipment,None,30-45 min,Beginner-Intermediate,Full body,High,All fitness levels,None,"3-4x per week","300-500 kcal",20 sec between exercises,"Add rounds, increase work time, or add harder variations"
57,CrossFit,General,WOD,Understand CrossFit WOD Structure,"Scale all workouts (WODs) to your current fitness level – lighter weights, fewer reps, modified movements. Scaling prevents injury.",Safe progressive fitness development,CrossFit gym equipment,Varies by WOD,All levels (scaled appropriately),Full body,High,All fitness levels,None,"3-5x per week","300-600 kcal",Built into WOD,"Scale up weight, reps or movement complexity"
58,CrossFit,Olympic Lifting,Technique,Learn Olympic Lifts with PVC Pipe First,"Practice clean & jerk and snatch with PVC pipe or empty barbell – master technique before adding weight. Prevents serious injury.",Prevents injury from poor technique,"PVC pipe or empty barbell","30-45 min technique sessions",Beginner (with coach),Full body (especially posterior chain),Very High,All CrossFit athletes (beginners),"Previous shoulder or back injury","2-3x per week technique work","150-250 kcal",2-3 min between sets,"Add weight only when coach approves technique"
59,CrossFit,Gymnastics,Skills,Build Pull‑Up Strength Progressively,"Progress from ring rows → banded pull‑ups → strict pull‑ups before attempting kipping/butterfly – builds necessary shoulder strength.",Builds shoulder strength, prevents injury,"Pull‑up bar, resistance bands","3‑5 sets to near failure",Beginner-Intermediate,"Lats, biceps, core",High,CrossFit athletes,Shoulder injury,3x per week,"100-150 kcal",2 min between sets,"Remove band tension or add reps"
60,Pilates,Core,Fundamentals,Master Pilates Breathing First,"Learn lateral thoracic breathing (inhale – expand ribs sideways, exhale – engage deep core) – foundation of all Pilates movement.",Activates deep core muscles,"Mat or reformer","First 2‑4 weeks",Beginner,"Core, pelvic floor, diaphragm",High,All Pilates beginners,None,Every session,N/A,N/A,"Apply to increasingly complex movements"
61,Pilates,Core,Mat Work,Practice the Hundred for Core Activation,"Lie on back, raise legs to tabletop or 45°, pump arms 100 times while breathing (5 inhale / 5 exhale). Warms up core and circulation.",Activates core, warms up body,Mat,5-10 min,Beginner-Intermediate,"Core, hip flexors",High,Pilates practitioners,Lower back pain (bend knees),Every session,"50-80 kcal",N/A,"Straighten legs, lower them toward floor"
62,Pilates,Reformer,Equipment,Use Reformer for Spinal Rehabilitation,"Reformer uses spring resistance to support and challenge simultaneously – ideal for spinal rehab, post‑surgery recovery, posture correction.",Rehabilitates spine, corrects posture,Pilates reformer,45-60 min,Beginner (with instructor),Full body (especially core/spine),High,"People with back pain, post‑surgery patients",Acute spinal injury without medical clearance,"2-3x per week","150-250 kcal",Built into session,"Increase spring resistance, reduce support"
63,Pilates,Flexibility,Stretching,Use Pilates for Hip Flexor Lengthening,"Swan dive, prone extension, hip flexor stretches – lengthens chronically tight hip flexors from sitting.",Counteracts tight hip flexors from sitting,"Mat or reformer",10-15 min,Beginner,"Hip flexors, lumbar spine",High,"Office workers, desk workers",Hip impingement,Daily,"50-80 kcal","Hold each position 30‑60 sec","Increase range of motion gradually"
64,Calisthenics,Bodyweight,Fundamentals,Master Basic Calisthenics Progressions,"Follow progressions from easier to harder (e.g., push‑ups: wall → incline → standard → diamond → archer → one‑arm). Builds relative strength.",Relative body strength,None,30-60 min,Beginner,Full body,High,All fitness levels,None,"3-4x per week","200-350 kcal",2 min between sets,"Move to next progression when 3x8 reps achieved cleanly"
65,Calisthenics,Skills,Advanced,Work Toward the Muscle‑Up,"Build foundation with 10+ pull‑ups and 10+ dips before attempting muscle‑up – uses false grip and hip drive.",Elite upper body pulling strength,"Pull‑up bar, dip bars",15-20 min skill work,Advanced,"Lats, biceps, chest, triceps, core",High,Advanced calisthenics athletes,Shoulder injury,"2-3x per week","150-200 kcal","2-3 min between attempts","Progress false‑grip pull‑ups, then transition work"
66,Calisthenics,Core,Plank Variations,Progress Through Plank Variations,"Standard plank → RKC plank → side plank → plank with shoulder taps → plank to push‑up. Builds complete core stability.",Complete core stability development,"None or parallettes","30 sec to 2 min holds",Beginner‑Advanced,Full core,High,All fitness levels,Lower back pain (modify),Daily,"60-100 kcal","30-60 sec between sets","Increase hold time, add movement"
67,Calisthenics,Skills,Handstand,Build Toward Handstand Balance,"Progress through wall handstand (chest‑to‑wall) → shoulder taps → freestanding holds using parallettes – builds wrist strength, shoulder stability, alignment.",Shoulder strength and body control,"Parallettes or wall","10-15 min practice daily",Intermediate,"Shoulders, wrists, core",Moderate,Intermediate calisthenics,"Wrist injury, high blood pressure",Daily practice,"80-120 kcal",Rest between attempts,"Decrease wall support time"
68,Martial Arts,Kickboxing,Cardio,Use Cardio Kickboxing for Fat Loss,"Practice jabs, crosses, hooks, uppercuts, front kicks, roundhouse kicks on heavy bag – 3 min rounds / 1 min rest. Excellent calorie burn.",Burns 500‑800 kcal/hour, improves coordination,"Boxing gloves, heavy bag",45-60 min,Beginner-Intermediate,"Full body, cardiovascular",High,All fitness levels,"Wrist, shoulder injury",3x per week,"450-600 kcal",1 min between 3 min rounds,"Add combination complexity or rounds"
69,Martial Arts,Boxing,Technique,Practice Boxing Fundamentals,"Proper stance, guard, head movement, basic combos (jab‑cross, jab‑cross‑hook) on pads or bag before sparring. Builds foundation safely.",Self‑defence, coordination,"Gloves, wraps, bag or pads",60 min,Beginner,"Shoulders, core, legs, cardiovascular",High,General population,Wrist injury,"2-3x per week","400-600 kcal",1 min between rounds,"Add combinations and defensive movements"
70,Martial Arts,BJJ,Grappling,Start Brazilian Jiu‑Jitsu for Full Body Strength,"BJJ wrestling, drilling, sparring develops full body functional strength, flexibility, and problem‑solving under pressure.",Functional fitness and mental acuity,"BJJ gi or rash guard",60-90 min,Beginner,Full body,High,"Adults seeking martial arts","Serious neck or shoulder injury","2-3x per week","400-700 kcal",Built into class,"Consistent practice over years"
71,Rowing,Machine,Technique,Master Rowing Machine Sequencing,"Sequence: legs‑body‑arms on drive; arms‑body‑legs on recovery. Damper 3‑5 (not max) – rows efficiently at sustainable pace.",Correct muscle sequencing and efficiency,Rowing machine,20-30 min,Beginner,"Full body (86% of muscles)",High,All fitness levels,Lower back injury,3x per week,"400-600 kcal",Built into workout,"Increase pace or duration"
